2026-06-01 01:20:25,189 args = Namespace(data='./data', batch_size=256, learning_rate=0.1, weight_decay=0.0003, epochs=10, save='outputs/logs_search/darts', seed=2, one_shot_optimizer='darts')
2026-06-01 01:20:31,946 param size = 0.003022MB
2026-06-01 01:20:31,946 Starting epoch 1/10
2026-06-01 01:21:39,598 valid mini-batch 080, loss=1.975561e+00 accuracy=32.118056
2026-06-01 01:21:39,672 valid mini-batch 081, loss=1.975324e+00 accuracy=32.145579
2026-06-01 01:21:39,755 valid mini-batch 082, loss=1.976365e+00 accuracy=32.125377
2026-06-01 01:21:39,849 valid mini-batch 083, loss=1.977775e+00 accuracy=32.101004
2026-06-01 01:21:39,943 valid mini-batch 084, loss=1.977952e+00 accuracy=32.100184
2026-06-01 01:21:40,022 valid mini-batch 085, loss=1.977562e+00 accuracy=32.117551
2026-06-01 01:21:40,101 valid mini-batch 086, loss=1.975923e+00 accuracy=32.161458
2026-06-01 01:21:40,179 valid mini-batch 087, loss=1.974072e+00 accuracy=32.186612
2026-06-01 01:21:40,275 valid mini-batch 088, loss=1.975317e+00 accuracy=32.189256
2026-06-01 01:21:40,373 valid mini-batch 089, loss=1.975410e+00 accuracy=32.191840
2026-06-01 01:21:40,475 valid mini-batch 090, loss=1.975383e+00 accuracy=32.181490
2026-06-01 01:21:40,563 valid mini-batch 091, loss=1.974278e+00 accuracy=32.260530
2026-06-01 01:21:40,650 valid mini-batch 092, loss=1.974052e+00 accuracy=32.295867
2026-06-01 01:21:40,736 valid mini-batch 093, loss=1.974610e+00 accuracy=32.263963
2026-06-01 01:21:40,818 valid mini-batch 094, loss=1.973801e+00 accuracy=32.257401
2026-06-01 01:21:40,900 valid mini-batch 095, loss=1.973428e+00 accuracy=32.295736
2026-06-01 01:21:40,978 valid mini-batch 096, loss=1.973168e+00 accuracy=32.284955
2026-06-01 01:21:41,081 valid mini-batch 097, loss=1.971489e+00 accuracy=32.350128
2026-06-01 01:21:41,167 valid mini-batch 098, loss=1.971459e+00 accuracy=32.354798
2026-06-01 01:21:41,246 valid mini-batch 099, loss=1.973242e+00 accuracy=32.328125
2026-06-01 01:21:41,333 valid mini-batch 100, loss=1.972390e+00 accuracy=32.332921
2026-06-01 01:21:41,425 valid mini-batch 101, loss=1.972507e+00 accuracy=32.322304
2026-06-01 01:21:41,511 valid mini-batch 102, loss=1.972220e+00 accuracy=32.319478
2026-06-01 01:21:41,611 valid mini-batch 103, loss=1.972290e+00 accuracy=32.324219
2026-06-01 01:21:41,688 valid mini-batch 104, loss=1.970461e+00 accuracy=32.395833
2026-06-01 01:21:41,767 valid mini-batch 105, loss=1.971051e+00 accuracy=32.355542
2026-06-01 01:21:41,863 valid mini-batch 106, loss=1.970619e+00 accuracy=32.356162
2026-06-01 01:21:41,945 valid mini-batch 107, loss=1.972071e+00 accuracy=32.371238
2026-06-01 01:21:42,033 valid mini-batch 108, loss=1.970639e+00 accuracy=32.378870
2026-06-01 01:21:42,116 valid mini-batch 109, loss=1.969982e+00 accuracy=32.414773
2026-06-01 01:21:42,218 valid mini-batch 110, loss=1.970749e+00 accuracy=32.383164
2026-06-01 01:21:42,324 valid mini-batch 111, loss=1.972600e+00 accuracy=32.317243
2026-06-01 01:21:42,429 valid mini-batch 112, loss=1.971817e+00 accuracy=32.297428
2026-06-01 01:21:42,517 valid mini-batch 113, loss=1.971886e+00 accuracy=32.322505
2026-06-01 01:21:42,630 valid mini-batch 114, loss=1.971377e+00 accuracy=32.367527
2026-06-01 01:21:42,712 valid mini-batch 115, loss=1.971375e+00 accuracy=32.361261
2026-06-01 01:21:42,820 valid mini-batch 116, loss=1.972457e+00 accuracy=32.335069
2026-06-01 01:21:42,874 valid mini-batch 117, loss=1.972412e+00 accuracy=32.330000
2026-06-01 01:21:42,874 valid_acc 32.330000
2026-06-01 01:21:42,874 genotype = Genotype(normal=[('max_pool_3x3', 0), ('conv_3x3', 0), ('max_pool_3x3', 1)], normal_concat=range(1, 3), reduce=[('conv_3x3', 0), ('skip_connect', 0), ('conv_3x3', 1)], reduce_concat=range(1, 3))
2026-06-01 01:21:42,891 Starting epoch 2/10
2026-06-01 01:21:43,513 train mini-batch 000, loss=1.289503e+00 accuracy=57.031250
2026-06-01 01:21:44,002 train mini-batch 001, loss=1.273692e+00 accuracy=55.078125
2026-06-01 01:21:44,540 train mini-batch 002, loss=1.253522e+00 accuracy=56.119792
2026-06-01 01:21:45,019 train mini-batch 003, loss=1.233897e+00 accuracy=58.300781
2026-06-01 01:21:45,495 train mini-batch 004, loss=1.250483e+00 accuracy=57.265625
2026-06-01 01:21:46,041 train mini-batch 005, loss=1.266460e+00 accuracy=57.291667
2026-06-01 01:21:46,522 train mini-batch 006, loss=1.290790e+00 accuracy=56.082589
2026-06-01 01:21:46,981 train mini-batch 007, loss=1.285723e+00 accuracy=55.615234
2026-06-01 01:21:47,545 train mini-batch 008, loss=1.275640e+00 accuracy=55.772569
2026-06-01 01:21:48,060 train mini-batch 009, loss=1.270192e+00 accuracy=55.898438
2026-06-01 01:21:48,537 train mini-batch 010, loss=1.264252e+00 accuracy=55.788352
2026-06-01 01:21:49,104 train mini-batch 011, loss=1.262873e+00 accuracy=55.533854
2026-06-01 01:21:49,626 train mini-batch 012, loss=1.267598e+00 accuracy=55.498798
2026-06-01 01:21:50,075 train mini-batch 013, loss=1.262664e+00 accuracy=56.082589
2026-06-01 01:21:50,623 train mini-batch 014, loss=1.260911e+00 accuracy=55.885417
2026-06-01 01:21:51,168 train mini-batch 015, loss=1.258465e+00 accuracy=56.005859
2026-06-01 01:21:51,673 train mini-batch 016, loss=1.256861e+00 accuracy=56.089154
2026-06-01 01:21:52,266 train mini-batch 017, loss=1.248721e+00 accuracy=55.967882
2026-06-01 01:21:52,844 train mini-batch 018, loss=1.242599e+00 accuracy=55.879934
2026-06-01 01:21:53,338 train mini-batch 019, loss=1.235932e+00 accuracy=55.839844
2026-06-01 01:21:53,946 train mini-batch 020, loss=1.231811e+00 accuracy=56.045387
2026-06-01 01:21:54,385 train mini-batch 021, loss=1.228309e+00 accuracy=56.232244
2026-06-01 01:21:54,976 train mini-batch 022, loss=1.220838e+00 accuracy=56.759511
2026-06-01 01:21:55,523 train mini-batch 023, loss=1.218515e+00 accuracy=56.884766
2026-06-01 01:21:56,096 train mini-batch 024, loss=1.218699e+00 accuracy=56.796875
2026-06-01 01:21:56,549 train mini-batch 025, loss=1.213166e+00 accuracy=57.076322
2026-06-01 01:21:57,117 train mini-batch 026, loss=1.210519e+00 accuracy=57.248264
2026-06-01 01:21:57,605 train mini-batch 027, loss=1.206354e+00 accuracy=57.198661
2026-06-01 01:21:58,089 train mini-batch 028, loss=1.202501e+00 accuracy=57.327586
2026-06-01 01:21:58,656 train mini-batch 029, loss=1.203955e+00 accuracy=57.148438
2026-06-01 01:21:59,219 train mini-batch 030, loss=1.198020e+00 accuracy=57.220262
2026-06-01 01:21:59,723 train mini-batch 031, loss=1.194758e+00 accuracy=57.324219
2026-06-01 01:22:00,308 train mini-batch 032, loss=1.194345e+00 accuracy=57.315341
2026-06-01 01:22:00,827 train mini-batch 033, loss=1.192566e+00 accuracy=57.341452
2026-06-01 01:22:01,396 train mini-batch 034, loss=1.191007e+00 accuracy=57.377232
2026-06-01 01:22:01,905 train mini-batch 035, loss=1.189372e+00 accuracy=57.486979
2026-06-01 01:22:02,522 train mini-batch 036, loss=1.187598e+00 accuracy=57.548564
2026-06-01 01:22:03,059 train mini-batch 037, loss=1.185759e+00 accuracy=57.689145
2026-06-01 01:22:03,649 train mini-batch 038, loss=1.183786e+00 accuracy=57.832532
2026-06-01 01:22:04,261 train mini-batch 039, loss=1.181563e+00 accuracy=57.998047
2026-06-01 01:22:04,870 train mini-batch 040, loss=1.178510e+00 accuracy=58.174543
2026-06-01 01:22:05,387 train mini-batch 041, loss=1.177406e+00 accuracy=58.138021
2026-06-01 01:22:05,967 train mini-batch 042, loss=1.174232e+00 accuracy=58.221294
2026-06-01 01:22:06,502 train mini-batch 043, loss=1.170762e+00 accuracy=58.416193
2026-06-01 01:22:07,007 train mini-batch 044, loss=1.168054e+00 accuracy=58.637153
2026-06-01 01:22:07,616 train mini-batch 045, loss=1.167294e+00 accuracy=58.755095
2026-06-01 01:22:08,106 train mini-batch 046, loss=1.164195e+00 accuracy=58.984375
2026-06-01 01:22:08,607 train mini-batch 047, loss=1.162429e+00 accuracy=59.163411
2026-06-01 01:22:09,161 train mini-batch 048, loss=1.160291e+00 accuracy=59.279337
2026-06-01 01:22:09,693 train mini-batch 049, loss=1.156537e+00 accuracy=59.445312
2026-06-01 01:22:10,207 train mini-batch 050, loss=1.153494e+00 accuracy=59.466912
2026-06-01 01:22:10,778 train mini-batch 051, loss=1.149695e+00 accuracy=59.615385
2026-06-01 01:22:11,256 train mini-batch 052, loss=1.148413e+00 accuracy=59.618219
2026-06-01 01:22:11,826 train mini-batch 053, loss=1.145806e+00 accuracy=59.794560
2026-06-01 01:22:12,450 train mini-batch 054, loss=1.141643e+00 accuracy=60.035511
2026-06-01 01:22:12,971 train mini-batch 055, loss=1.138119e+00 accuracy=60.358538
2026-06-01 01:22:13,473 train mini-batch 056, loss=1.133891e+00 accuracy=60.601700
2026-06-01 01:22:14,056 train mini-batch 057, loss=1.131112e+00 accuracy=60.748922
